鄉鎮市區碼,診所家數,家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,整形外科,職業醫學科,西醫一般科,牙醫一般科,口腔病理科,口腔顎面外科,齒顎矯正科,中醫一般科,中醫內科,中醫外科,中醫眼科,中醫兒科,中醫婦科,中醫傷科,中醫針灸科,中醫痔科
101,301,8,17,5,16,5,3,1,1,0,16,11,10,4,8,0,0,0,0,0,0,0,7,0,39,131,0,0,1,36,0,0,0,0,0,0,0,0
102,851,28,21,21,19,32,8,3,1,3,25,22,26,16,14,4,0,0,1,1,0,2,57,0,164,310,0,0,2,115,2,0,0,0,0,0,0,0
109,170,10,9,2,6,6,0,2,0,0,10,4,6,1,4,0,0,0,0,0,0,0,1,0,11,59,0,0,0,45,1,0,0,0,0,0,0,0
110,485,19,23,12,17,25,6,2,0,0,20,11,14,8,9,0,0,0,0,0,0,1,21,0,81,179,0,1,1,65,0,0,0,0,0,0,0,0
111,252,15,17,8,16,11,3,1,0,1,15,14,9,5,9,2,0,0,0,0,0,0,2,0,34,103,0,0,0,26,0,0,0,0,0,0,0,0
112,82,7,2,1,3,2,2,0,0,0,7,2,2,0,3,0,0,0,0,0,0,0,0,0,10,35,0,0,0,11,0,0,0,0,0,0,0,0
115,315,18,13,5,25,8,9,0,0,0,17,12,12,3,7,0,0,0,0,0,0,0,4,0,21,132,0,0,1,48,0,0,0,0,0,0,0,0
116,201,15,19,4,13,5,3,2,0,0,12,8,8,2,6,0,0,0,0,0,0,1,2,0,12,74,0,0,1,31,0,0,0,0,0,0,0,0
117,299,10,17,3,13,4,2,2,0,0,13,7,10,5,8,0,0,0,0,0,0,0,1,0,44,115,0,0,1,51,0,0,0,0,0,1,1,0
118,293,13,14,11,8,10,2,2,0,0,12,9,9,5,5,0,0,0,0,0,0,1,14,1,35,108,0,2,2,55,1,0,0,0,1,0,0,0
119,178,13,13,2,12,5,5,0,0,1,11,8,2,2,4,0,0,0,0,0,0,0,2,0,22,56,0,1,0,34,0,0,0,0,0,0,0,0
120,199,11,11,0,14,4,1,1,0,1,11,10,4,1,6,0,0,0,0,0,0,0,1,0,19,77,0,0,0,36,0,0,0,0,0,0,0,0
301,239,13,30,6,30,11,3,3,1,2,16,6,4,3,5,0,0,0,0,0,0,0,0,0,15,63,0,0,0,56,2,0,0,0,0,0,0,0
302,50,6,8,5,5,2,1,2,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,0,8,0,0,0,0,0,0,0,0
303,82,12,8,6,8,4,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,10,19,0,0,0,17,1,0,1,0,0,0,0,0
304,66,4,8,2,4,4,0,2,0,0,5,2,1,0,1,0,0,0,0,0,0,0,0,0,9,16,0,0,0,14,0,0,0,0,0,0,0,0
305,85,3,7,1,6,6,2,0,0,0,4,3,3,1,0,0,0,0,0,0,0,0,0,0,11,28,0,0,0,12,0,0,0,0,0,0,0,0
306,18,3,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,1,3,0,0,0,0,0,0,0,0
307,45,3,5,1,4,3,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,0,8,0,0,0,0,0,0,0,0
308,37,0,5,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,10,0,0,0,0,0,0,0,0
309,96,6,6,5,7,4,3,0,0,0,4,3,1,1,2,0,0,0,0,0,0,0,0,0,11,28,0,0,0,22,0,0,0,0,0,0,0,0
310,79,7,7,3,8,2,2,0,0,0,6,2,2,0,3,0,0,0,0,0,0,0,0,0,6,24,0,0,0,18,0,0,0,0,0,0,0,0
311,15,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,4,0,0,0,0,0,0,0,0
312,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
313,11,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0
314,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
315,68,9,4,2,6,1,2,0,0,0,4,1,1,0,2,0,0,0,0,0,0,0,0,0,5,18,0,0,0,18,0,0,0,0,0,0,0,0
316,37,1,4,0,3,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,7,0,0,0,0,0,0,0,0
317,47,9,5,0,2,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,8,15,0,0,0,6,0,0,0,0,0,0,0,0
318,52,3,3,0,6,2,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,7,13,0,0,0,13,0,0,0,0,0,0,0,0
319,170,19,15,5,13,8,1,0,0,0,9,7,4,1,2,0,1,0,0,0,0,0,0,0,12,45,0,0,0,43,0,0,0,0,0,0,0,0
320,220,19,11,5,15,6,4,0,1,0,13,3,4,2,5,0,0,0,0,0,0,0,0,0,25,62,0,0,0,58,2,0,0,0,0,0,0,0
321,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0
322,59,3,7,4,4,9,0,1,0,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,8,11,0,0,0,10,2,0,0,0,0,0,0,0
323,90,7,9,3,8,3,3,1,0,2,4,0,1,1,1,0,0,0,0,0,0,0,0,0,9,20,0,0,0,29,2,1,0,0,0,0,0,0
324,326,21,21,10,24,19,2,2,1,0,10,8,11,4,3,0,0,0,1,0,0,0,15,0,33,92,0,1,0,66,2,1,0,0,1,0,0,0
325,165,9,13,2,15,3,4,0,0,0,8,4,2,2,6,0,0,0,0,0,0,1,1,0,12,51,0,0,0,41,2,0,0,0,0,1,0,0
326,298,16,26,14,22,12,8,6,0,2,15,7,7,3,2,0,0,0,0,0,0,0,4,0,22,90,0,0,0,70,1,0,0,0,1,1,1,0
327,364,20,20,8,22,12,6,1,1,2,15,10,8,6,8,0,0,0,0,0,0,0,13,0,55,102,0,0,0,65,0,0,0,0,0,0,0,0
328,344,22,19,19,27,8,9,0,0,4,15,10,8,5,3,0,0,0,0,0,0,0,5,0,40,97,0,0,0,71,1,0,0,0,0,1,0,0
329,364,26,18,8,22,10,7,1,0,1,19,9,6,4,8,0,0,0,0,0,0,0,3,0,24,114,0,0,0,98,1,0,0,0,0,0,0,0
501,111,9,13,4,13,8,2,1,0,2,4,5,3,1,2,0,0,0,0,0,0,0,0,0,10,32,0,0,0,14,0,0,0,0,0,0,0,0
502,17,1,1,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,2,0,0,0,0,0,0,0,0
503,23,2,4,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,7,5,0,0,0,3,0,0,0,0,0,0,0,0
504,42,2,3,2,4,3,1,0,0,1,4,2,1,1,1,0,0,0,0,0,0,0,0,0,6,5,0,0,0,8,0,0,0,0,0,0,0,0
505,61,1,8,3,7,5,2,0,0,0,2,4,2,1,1,0,0,0,0,0,0,0,0,0,8,14,0,0,0,8,0,0,0,0,0,0,0,0
506,36,5,3,1,3,1,3,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,5,0,0,0,0,0,0,0,0
507,49,6,5,1,1,2,1,0,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,9,0,0,0,0,0,0,0,0
508,16,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,3,0,0,0,0,0,0,0,0
509,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
510,10,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0
511,9,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
512,16,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,4,0,0,0,0,0,0,0,0
513,15,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,1,0,0,0,0,0,0,0,0
514,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0
515,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
516,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0
517,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
518,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0
519,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
520,28,4,1,0,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,4,6,0,0,0,7,0,0,0,0,0,0,0,0
521,8,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
522,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
523,12,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,2,0,0,0,0,0,0,0,0
524,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
525,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
526,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
