鄉鎮市區碼,診所家數,家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,整形外科,職業醫學科,西醫一般科,牙醫一般科,口腔病理科,口腔顎面外科,齒顎矯正科,兒童牙科,中醫一般科,中醫內科,中醫外科,中醫眼科,中醫兒科,中醫婦科,中醫傷科,中醫針灸科,中醫痔科
101,302,7,18,5,17,4,3,1,1,0,15,11,10,4,8,0,0,0,0,0,0,0,10,0,38,128,0,0,1,0,39,0,0,0,0,0,0,0,0
102,869,28,22,23,19,34,8,3,1,3,25,21,25,16,17,4,0,0,1,1,0,1,60,0,171,305,0,0,2,0,123,2,0,0,0,0,0,0,0
109,163,10,9,1,6,5,0,2,0,0,9,3,6,1,4,0,0,0,0,0,0,0,1,0,9,58,0,1,0,0,44,1,0,0,0,0,0,0,0
110,496,21,24,10,16,27,6,2,0,0,20,11,14,9,10,0,0,0,0,0,0,1,21,0,85,176,0,2,1,0,70,0,0,0,0,0,0,0,0
111,260,14,19,7,16,10,6,2,0,2,15,15,9,6,9,2,0,0,0,0,0,0,3,0,32,107,0,1,0,0,27,0,0,0,0,0,0,0,0
112,84,7,2,1,5,2,2,0,0,0,8,2,2,1,3,0,0,0,0,0,0,0,0,0,10,33,0,0,0,0,11,0,0,0,0,0,0,0,0
115,320,18,14,6,24,8,9,0,0,0,16,12,12,3,8,0,0,0,0,0,0,0,4,0,21,133,0,0,1,0,51,0,0,0,0,0,0,0,0
116,202,16,19,4,13,4,3,2,0,0,12,8,8,3,7,0,0,0,0,0,0,1,2,0,12,74,0,0,1,0,30,0,0,0,0,0,0,0,0
117,300,10,17,4,11,6,2,1,0,1,12,8,10,5,8,0,0,0,0,0,0,0,2,0,42,115,0,0,1,0,52,0,0,0,0,0,1,1,0
118,292,14,12,9,7,11,1,2,0,0,13,8,9,6,5,1,0,0,0,0,0,1,14,1,35,110,0,2,2,0,56,1,0,0,0,1,0,0,0
