鄉鎮市區碼,診所家數,家庭醫學科,內科,外科,兒科,婦產科,骨科,神經科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,整形外科,職業醫學科,西醫一般科,牙醫一般科,口腔病理科,口腔顎面外科,齒顎矯正科,牙周病科,兒童牙科,牙髓病科,?復補綴牙科,牙體復形科,家庭牙醫科,特殊需求者口腔醫學科,中醫一般科,中醫內科,中醫外科,中醫眼科,中醫兒科,中醫婦科,中醫傷科,中醫針灸科,中醫痔科
101,307,8,18,6,18,3,4,1,0,0,14,11,10,4,8,0,0,0,0,0,0,0,7,0,39,131,0,0,1,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0
102,882,31,24,24,20,32,8,3,1,3,26,21,24,16,18,3,0,0,1,1,0,1,60,0,180,308,0,0,3,1,1,1,0,1,1,0,120,2,0,0,0,0,0,0,0
109,165,10,12,1,6,5,0,2,0,0,7,3,6,1,4,0,0,0,0,0,0,0,1,0,9,59,0,1,0,1,0,0,0,0,0,0,45,1,0,0,0,0,0,0,0
110,505,22,24,10,16,26,7,2,0,1,20,9,16,10,10,1,0,0,0,0,0,1,22,0,84,179,0,2,2,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0
111,266,12,18,7,16,9,6,2,0,3,14,15,9,6,10,2,0,0,1,0,0,0,2,0,35,108,0,1,1,0,0,0,0,0,1,0,30,0,0,0,0,0,0,0,0
112,85,9,2,1,5,2,2,0,0,0,9,2,2,1,3,0,0,0,0,0,0,0,0,0,8,34,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
115,311,16,14,5,21,7,9,0,0,0,15,13,11,4,7,0,0,0,0,0,0,0,4,0,20,133,0,0,2,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0
116,205,16,20,4,13,4,3,3,0,0,13,9,9,3,8,1,0,0,0,0,0,1,2,0,11,74,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
117,301,11,17,4,10,7,2,1,0,1,13,8,11,5,8,0,0,0,0,0,0,0,3,0,45,111,0,0,1,0,0,0,0,0,0,0,50,0,0,0,0,0,1,1,0
118,296,12,12,9,7,10,1,2,0,0,13,8,9,7,7,1,0,0,0,0,0,1,13,1,39,113,0,2,2,0,0,0,0,0,0,0,56,1,0,0,0,1,0,0,0
